checked_at,requested_brand,matched_brand,match_mode,search_result_total,matched_products,pages_scanned,top_candidate_brands,status
2026-09-18T07:00:27+09:00,웬즈데이오아시스,웬즈데이오아시스,exact,0,531,20,웬즈데이오아시스 포 우먼:571 | 웬즈데이오아시스:455 | 웬즈데이오아시스 키즈:76,ok
2026-09-18T17:00:37+09:00,웬즈데이오아시스포우먼,웬즈데이오아시스 포 우먼,normalized,0,571,11,웬즈데이오아시스 포 우먼:571,ok
2026-09-17T18:41:58+09:00,위캔더스,위캔더스,exact,0,504,10,위캔더스:504 | 위켄더스:20 | 오프위켄드:2 | 씨유아르보:1,ok
2026-09-18T09:44:33+09:00,유니버스가먼트,유니버스 가먼트,normalized,0,204,5,유니버스 가먼트:204,ok
2026-09-18T03:53:10+09:00,유니온블루,유니온블루,exact,0,385,9,유니온블루:385 | 유니온블루 우먼:47,ok
2026-09-18T06:32:26+09:00,유니온스튜디오,유니온스튜디오,exact,0,73,2,유니온스튜디오:73,ok
2026-09-18T03:56:01+09:00,유니폼브릿지,유니폼브릿지,exact,0,1219,22,유니폼브릿지:1219,ok
2026-09-18T17:21:40+09:00,유라고,유라고,exact,0,503,10,유라고:503 | 앤블랭크:2,ok
2026-09-18T14:32:53+09:00,유젠,유젠,exact,0,253,5,유젠:253,ok
2026-09-18T00:54:48+09:00,유희,유희,exact,0,473,9,유희:473 | 오찌:1 | 와이쏘씨리얼즈:1 | 원헌드레드퍼센트:1,ok
2026-09-18T00:27:03+09:00,음,음,exact,0,196,38,유니버셜 케미스트리:201 | 음:196 | 셋업이엑스이:122 | 아우어노스텔지아:118 | 보나츠:116,ok
2026-09-18T03:34:32+09:00,이미스,이미스,exact,0,928,17,이미스:928 | 루비랩:2 | 블리블리:2 | 한율:2 | 레고:1,ok
2026-09-18T09:57:58+09:00,이스케이프프롬,이스케이프프롬,exact,0,1728,30,이스케이프프롬:1728,ok
2026-09-18T16:47:02+09:00,이알에이,이알에이,exact,0,171,7,이알에이:171 | 제이에스티나:55 | 푸마:18 | 코닥 카메라:16 | 오디드:8,ok
2026-09-18T00:52:34+09:00,이알티알,이알티알,exact,0,263,6,이알티알:263,ok
2026-09-17T18:34:10+09:00,이와이이알,이와이이알,exact,0,188,5,이와이이알:188,ok
2026-09-18T17:23:31+09:00,이지노이지,이지노이지,exact,0,175,4,이지노이지:175,ok
2026-09-18T06:31:54+09:00,이투둘,이투둘,exact,0,99,20,르꼬끄:183 | 르꼬끄 골프:167 | 이투둘:99 | 먼싱웨어:92 | 엄브로:71,ok
2026-09-18T06:28:16+09:00,이티씨이,이티씨이,exact,0,192,5,이티씨이:192,ok
2026-09-18T16:53:18+09:00,인더스트,인더스트,exact,0,286,6,인더스트:286 | 페이드:5 | 더블제이디:3 | 트립샵:2,ok
2026-09-18T10:19:22+09:00,인사일런스,인사일런스,exact,0,650,21,인사일런스:650 | 인사일런스 우먼:522 | 필프:5 | 브랜디드:2 | 크루치:2,ok
2026-09-18T10:25:09+09:00,인사일런스우먼,인사일런스 우먼,normalized,0,522,16,인사일런스 우먼:522 | 인사일런스:322 | 필프:5 | 크루치:2 | 비엘알:1,ok
2026-09-18T10:12:45+09:00,인템포무드,인템포무드,exact,0,336,7,인템포무드:336,ok
2026-09-18T10:22:58+09:00,일꼬르소,일꼬르소,exact,0,457,9,일꼬르소:457 | 써니스 스튜디오:1,ok
2026-09-17T21:59:33+09:00,일리고,일리고,exact,0,597,16,일리고:597 | 프레드페리:35 | 뉴해빗:21 | 제이반스 클래식:17 | 이카룩:14,ok
2026-09-18T16:58:53+09:00,일리오,일리오,exact,0,214,5,일리오:214,ok
2026-09-18T03:51:44+09:00,제너럴아이디어,제너럴아이디어,exact,0,1581,28,제너럴아이디어:1581,ok
2026-09-18T17:19:10+09:00,제로,제로,exact,0,273,40,제로:273 | 210에디트:131 | 아디다스:122 | 제로스트릿:116 | 제로스킨:69,ok
2026-09-18T09:42:23+09:00,제로플래닛,제로플래닛,exact,0,256,6,제로플래닛:256,ok
2026-09-18T01:10:57+09:00,제멋,제멋,exact,0,938,17,제멋:938,ok
2026-09-18T14:59:26+09:00,제이엘브,제이엘브,exact,0,282,5,제이엘브:282,ok
2026-09-18T16:42:41+09:00,젝시믹스,젝시믹스,exact,0,2016,38,젝시믹스:2016 | 젝시믹스 키즈:150,ok
2026-09-17T22:11:19+09:00,주앙옴므,주앙옴므,exact,0,137,4,주앙옴므:137 | 브랜디드:3 | 디앤에스알:1,ok
2026-09-18T09:38:45+09:00,지오다노,지오다노,exact,0,1047,19,지오다노:1047,ok
2026-09-18T09:51:05+09:00,지크립,지크립,exact,0,385,8,지크립:385,ok
2026-09-18T00:29:39+09:00,지프,지프,exact,0,549,24,지프:549 | 지프키즈:265 | 지프 슈즈:181 | 제이엑스피:62 | 폴라올라:61,ok
2026-09-18T14:19:34+09:00,챔피온,챔피온,exact,0,1278,28,챔피온:1278 | 위캔더스:23 | 레고:22 | 조마:19 | 유에프씨 스포츠:16,ok
2026-09-18T09:49:50+09:00,체이스컬트,체이스컬트,exact,0,2376,40,체이스컬트:2376,ok
2026-09-18T01:05:25+09:00,칙스,칙스,exact,0,584,12,칙스:584 | 본챔스:5 | 캔메이크:4 | 러브오낫:3 | 락포트:2,ok
2026-09-18T16:50:04+09:00,카고브로스,카고브로스,exact,0,1183,34,카고브로스:1183 | 카고브로스 포 우먼:765,ok
2026-09-18T06:30:44+09:00,카고브로스포우먼,카고브로스 포 우먼,normalized,0,766,14,카고브로스 포 우먼:766 | 카고브로스:4,ok
2026-09-18T03:58:23+09:00,카네이테이,카네이테이,exact,0,404,8,카네이테이:404 | 비슬로우:2,ok
2026-09-18T09:44:26+09:00,카락터,카락터,exact,0,125,4,카락터:125,ok
2026-09-18T03:37:41+09:00,카멜워크,카멜워크,exact,0,234,10,카멜워크:234 | 세인트크루:13 | 디키즈:7 | 팀버랜드:6 | 엘유브이엠:5,ok
2026-09-18T09:38:54+09:00,카미드,카미드,exact,0,140,4,카미드:140,ok
2026-09-17T18:32:13+09:00,카비시,카비시,exact,0,466,9,카비시:466,ok
2026-09-18T16:51:07+09:00,카인다미,카인다미,exact,0,115,3,카인다미:115,ok
2026-09-18T06:53:15+09:00,카키포인트,카키포인트,exact,0,238,5,카키포인트:238,ok
2026-09-17T18:24:46+09:00,캘빈클라인진,캘빈클라인 진,normalized,0,468,10,캘빈클라인 진:468 | 커버낫 키즈:23 | 헙스로우:10 | 오리지널데이:2 | 헤레시:2,ok
2026-09-18T10:07:08+09:00,커버낫,커버낫,exact,0,1267,40,커버낫:1267 | 커버낫 우먼:819 | 커버낫 키즈:310 | 커버낫 뷰티:4,ok
2026-09-17T21:29:53+09:00,커버낫우먼,커버낫 우먼,normalized,0,1203,40,커버낫 우먼:1203 | 커버낫:1197,ok
2026-09-18T10:15:21+09:00,커스텀어클락,커스텀어클락,exact,0,180,6,커스텀어클락:180 | 커스텀어클락 우먼:78,ok
2026-09-18T14:27:07+09:00,커스텀어클락우먼,커스텀어클락 우먼,normalized,0,78,3,커스텀어클락 우먼:78,ok
2026-09-17T18:26:10+09:00,케이엔드,케이엔드,exact,0,86,3,케이엔드:86,ok
2026-09-18T16:47:30+09:00,케이케이이이이,케이케이이이이,exact,0,77,2,케이케이이이이:77,ok
2026-09-18T16:38:14+09:00,코닥,코닥,exact,0,1970,40,코닥:1970 | 코닥 키즈:355 | 코닥 캐리어:45 | 코닥 카메라:21 | 코닥 언더웨어:8,ok
2026-09-17T18:48:04+09:00,코드그라피,코드그라피,exact,0,1500,27,코드그라피:1500 | 투미:1,ok
2026-09-18T00:53:29+09:00,코이리스,코이리스,exact,0,254,6,코이리스:254 | 무센트:5,ok
2026-09-18T17:14:17+09:00,쿠어,쿠어,exact,0,802,23,쿠어:802 | 쿠어 우먼:239 | 김정문알로에:53 | 르쿠어에쿠어:15 | 멀로:11,ok
2026-09-18T14:36:50+09:00,크랭크,크랭크,exact,0,455,10,크랭크:455 | 노그:28 | 코소:13 | 라이엇 스토어:2 | 듀스피싱:1,ok
