first_seen_at,brand_name,goods_no,product_name,normal_price,current_price,sale_rate
2026-08-27T10:51:26+09:00,프리즘웍스,1811199,TWILL BALLOON PANTS _ IVORY,65000,65000,0
2026-08-27T10:51:26+09:00,프리즘웍스,1811221,OG STRIPE OVERSIZED SHIRT _ GRAY,68000,68000,0
2026-08-27T10:51:26+09:00,프리즘웍스,1811222,OG STRIPE OVERSIZED SHIRT _ PURPLE,68000,68000,0
2026-08-27T10:51:26+09:00,프리즘웍스,1811223,OG STRIPE OVERSIZED SHIRT _ BLUE,68000,68000,0
2026-08-27T10:51:26+09:00,프리즘웍스,1811224,OG STRIPE OVERSIZED SHIRT _ ORANGE,68000,68000,0
2026-08-27T10:51:26+09:00,프리즘웍스,1811225,OG OXFORD OVERSIZED SHIRT _ GRAY,68000,68000,0
2026-08-27T10:51:26+09:00,프리즘웍스,1811226,OG OXFORD OVERSIZED SHIRT _ PURPLE,68000,68000,0
2026-08-27T10:51:26+09:00,프리즘웍스,1811227,OG OXFORD OVERSIZED SHIRT _ BLUE,68000,68000,0
2026-08-27T10:51:26+09:00,프리즘웍스,1811228,OG OXFORD OVERSIZED SHIRT _ WHITE,68000,68000,0
2026-08-27T10:51:26+09:00,프리즘웍스,1811246,UTILITY MOUNTAIN PARKA _ BLACK WATCH,179000,71600,60
2026-08-27T10:51:26+09:00,프리즘웍스,1824451,TYPOGRAPHY LOGO SWEATSHIRT _ PISTACHIO,62000,18600,70
2026-08-27T10:51:26+09:00,프리즘웍스,1837255,DOUBLE LAYERED HOODY _ DARK GRAY,89000,35600,60
2026-08-27T10:51:26+09:00,프리즘웍스,1837256,DOUBLE LAYERED HOODY _ IVORY,89000,35600,60
2026-08-27T10:51:26+09:00,프리즘웍스,1837272,OVERSIZED MA-1 FLIGHT JACKET _ LIGHT BEIGE,138000,41400,70
2026-08-27T10:51:26+09:00,프리즘웍스,1850250,NYLON DOUBLE VENT SHIRT _ BROWN,78000,39000,50
2026-08-27T10:51:26+09:00,프리즘웍스,1850274,HEAVYWEIGHT SWEAT TANKER JACKET _ OATMEAL,98000,39200,60
2026-08-27T10:51:26+09:00,프리즘웍스,1861909,OG PIGMENT DYEING SWEATSHIRT 002 _ BEIGE,69000,34500,50
2026-08-27T10:51:26+09:00,프리즘웍스,1861935,OG PIGMENT DYEING HOODY 002 _ CHARCOAL,89000,89000,0
2026-08-27T10:51:26+09:00,프리즘웍스,1861936,OG PIGMENT DYEING HOODY 002 _ BLUE,89000,89000,0
2026-08-27T10:51:26+09:00,프리즘웍스,1861938,OG PIGMENT DYEING HOODY 002 _ PINK,89000,89000,0
2026-08-27T10:51:26+09:00,프리즘웍스,1861939,OG PIGMENT DYEING HOODY 002 _ BEIGE,89000,89000,0
2026-08-27T10:51:26+09:00,프리즘웍스,1862005,TIE-DYED BANDANA OVERSIZED SHIRT _ BEIGE,98000,39200,60
2026-08-27T10:51:26+09:00,제멋,1884469,[2PACK] 스테이 오버핏 반팔티셔츠 2PACK SOST2339,70900,35800,50
2026-08-27T10:51:26+09:00,제멋,1884470,스테이 오버핏 반팔티셔츠 카키 SOST2339,35500,24900,30
2026-08-27T10:51:26+09:00,제멋,1884474,스테이 오버핏 반팔티셔츠 아이보리 SOST2339,35500,24900,30
2026-08-27T10:51:26+09:00,제멋,1884475,스테이 오버핏 반팔티셔츠 블랙 SOST2339,35500,24900,30
2026-08-27T10:51:26+09:00,제멋,1884480,[2PACK] 코스모 밴딩 숏팬츠 2PACK JMSP2332,73900,37900,49
2026-08-27T10:51:26+09:00,제멋,1884481,코스모 밴딩 숏팬츠 카키 JMSP2332,37000,25900,30
2026-08-27T10:51:26+09:00,제멋,1884485,코스모 밴딩 숏팬츠 그레이 JMSP2332,37000,25900,30
2026-08-27T10:51:26+09:00,제멋,1911511,핀스 오버핏 카라 반팔티 아이보리 YHST2354,41000,28900,30
2026-08-27T10:51:26+09:00,제멋,1911512,핀스 오버핏 카라 반팔티 블랙 YHST2354,41000,28900,30
2026-08-27T10:51:26+09:00,제멋,1911513,핀스 오버핏 카라 반팔티 네이비 YHST2354,41000,28900,30
2026-08-27T10:51:26+09:00,제멋,1911514,핀스 오버핏 카라 반팔티 그레이 YHST2354,41000,28900,30
2026-08-27T10:51:26+09:00,제멋,1911516,[2PACK] 핀스 오버핏 카라 반팔티 2PACK YHST2354,81900,48900,40
2026-08-27T10:51:26+09:00,에스피오나지,1935739,NAVAL Academy Heavyweight Tee Navy,47000,32900,30
2026-08-27T10:51:26+09:00,어반드레스,1936829,플랙스 라운드 니트 반팔 - 9COL,48000,19900,59
2026-08-27T10:51:26+09:00,어반드레스,1943088,이안 버튼 카라 반팔 니트 - 9COL,54000,19900,63
2026-08-27T10:51:26+09:00,어반드레스,1943264,다니엘 오픈 카라 니트 반팔 - 9COL,50000,13400,73
2026-08-27T10:51:26+09:00,프리즘웍스,1948297,DENIM BALLOON PANTS _ INDIGO,75000,75000,0
2026-08-27T10:51:26+09:00,프리즘웍스,1948298,DENIM BALLOON PANTS _ BLUE,75000,75000,0
2026-08-27T10:51:26+09:00,제멋,1948516,스콘 와이드 벌룬팬츠 카키 YHLP2350,50000,34900,30
2026-08-27T10:51:26+09:00,제멋,1948517,스콘 와이드 벌룬팬츠 차콜 YHLP2350,50000,34900,30
2026-08-27T10:51:26+09:00,제멋,1948518,스콘 와이드 벌룬팬츠 블랙 YHLP2350,50000,34900,30
2026-08-27T10:51:26+09:00,제멋,1948519,스콘 와이드 벌룬팬츠 베이지 YHLP2350,50000,34900,30
2026-08-27T10:51:26+09:00,제멋,1948520,[2PACK] 스콘 와이드 벌룬팬츠 YHLP2350 / YHLP2386,101900,64900,36
2026-08-27T10:51:26+09:00,어반드레스,1955893,스퀘어넥 슬림 롱 원피스 화이트,93000,42110,55
2026-08-27T10:51:26+09:00,프리즘웍스,1957641,OG POPLIN OVERSIZED SHIRT _ BLACK,58000,58000,0
2026-08-27T10:51:26+09:00,프리즘웍스,1957642,OG POPLIN OVERSIZED SHIRT _ GRAY,58000,58000,0
2026-08-27T10:51:26+09:00,프리즘웍스,1957643,OG POPLIN OVERSIZED SHIRT _ BLUE,58000,58000,0
2026-08-27T10:51:26+09:00,프리즘웍스,1957644,OG POPLIN OVERSIZED SHIRT _ LIGHT GREEN,58000,58000,0
2026-08-27T10:51:26+09:00,프리즘웍스,1957645,OG POPLIN OVERSIZED SHIRT _ WHITE,58000,58000,0
2026-08-27T10:51:26+09:00,제멋,1958270,[SET] 에디 오버핏 반팔티셔츠 KJST2189 + 코스모 밴딩 숏팬츠 JMSP2332,68400,36700,46
2026-08-27T10:51:26+09:00,에스피오나지,1959696,Over Pique Polo Shirt Navy,72000,50400,30
2026-08-27T10:51:26+09:00,프리즘웍스,1964549,OG WIDE COTTON PANTS _ BLACK,65000,65000,0
2026-08-27T10:51:26+09:00,프리즘웍스,1964551,OG WIDE COTTON PANTS _ OATMEAL,65000,65000,0
2026-08-27T10:51:26+09:00,프리즘웍스,1964572,OG MILD REGULAR SLACKS _ BROWN,62000,24800,60
2026-08-27T10:51:26+09:00,프리즘웍스,1964608,OG DOUBLE RIB OVERSIZED TEE _ MELANGE GRAY,32000,32000,0
2026-08-27T10:51:26+09:00,프리즘웍스,1964609,OG DOUBLE RIB OVERSIZED TEE _ OATMEAL,32000,32000,0
2026-08-27T10:51:26+09:00,어반드레스,1976079,BUCKLE WIDE DENIM PANTS BLACK,69000,34090,51
2026-08-27T10:51:26+09:00,어반드레스,1979473,PLEATS DENIM SKIRT BLACK,59000,31000,47
2026-08-27T10:51:26+09:00,어반드레스,1980169,DEEP SLIT LONG SKIRT BLACK,53000,37000,30
2026-08-27T10:51:26+09:00,프리즘웍스,1981336,BOKJORI STRING BAG _ LEATHER TAUPE,89000,35600,60
2026-08-27T10:51:26+09:00,에스피오나지,1994271,Armored Div Heavyweight Tee Off White,47000,32900,30
2026-08-27T10:51:26+09:00,어반드레스,2005113,젠틀 오픈 세미 오버핏 셔츠 - 4COL,38000,29900,21
2026-08-27T10:51:26+09:00,로우클래식,2017519,BOUCLE SKIRT - IVORY,298000,178800,40
2026-08-27T10:51:26+09:00,어반드레스,2019619,젠틀 반오픈 세미 오버핏 긴팔 셔츠 - 6COL,42000,29900,29
2026-08-27T10:51:26+09:00,에스피오나지,2052991,Denim Over Shirt Washed Indigo,106000,84800,20
2026-08-27T10:51:26+09:00,키뮤어,2057860,헤비웨이트 투턱 스트링 스웨트팬츠_그레이,59000,41300,30
2026-08-27T10:51:26+09:00,에스피오나지,2084430,Wide Officer Pants Grey Olive,119000,107100,10
2026-08-27T10:51:26+09:00,에스피오나지,2084435,Wide Officer Pants Beige,119000,107100,10
2026-08-27T10:51:26+09:00,제멋,2085361,헤이즈 오버핏 스웨트셔츠 [쭈리/기모] 차콜 KJMT2369 / KJMT2400,43000,30300,30
2026-08-27T10:51:26+09:00,제멋,2085363,헤이즈 오버핏 스웨트셔츠 [쭈리/기모] 블랙 KJMT2369 / KJMT2400,43000,30300,30
2026-08-27T10:51:26+09:00,제멋,2085369,헤이즈 오버핏 스웨트셔츠 [쭈리/기모] 네이비 KJMT2369 / KJMT2400,43000,30300,30
2026-08-27T10:51:26+09:00,제멋,2085370,헤이즈 오버핏 스웨트셔츠 [쭈리/기모] 그레이 KJMT2369 / KJMT2400,43000,30300,30
2026-08-27T10:51:26+09:00,제멋,2085371,[2PACK] 헤이즈 오버핏 스웨트셔츠 [쭈리/기모] 2PACK KJMT2369 / KJMT2400,85900,55900,35
2026-08-27T10:51:26+09:00,프리즘웍스,2100756,TWO TONE D.P SHIRT _ WHITE,82000,32800,60
2026-08-27T10:51:26+09:00,프리즘웍스,2100775,VISCOSE SATIN JACKET _ BLACK,128000,51200,60
2026-08-27T10:51:26+09:00,프리즘웍스,2100776,VISCOSE SATIN JACKET _ NAVY,128000,51200,60
2026-08-27T10:51:26+09:00,프리즘웍스,2100810,RELAXED TRUCKER JACKET _ LIGHT BEIGE,158000,63200,60
2026-08-27T10:51:26+09:00,제멋,2101659,스콘(F/W용) 와이드 벌룬팬츠 카키 YHLP2386,51000,39800,22
2026-08-27T10:51:26+09:00,제멋,2101660,스콘(F/W용) 와이드 벌룬팬츠 차콜 YHLP2386,51000,39800,22
2026-08-27T10:51:26+09:00,제멋,2101661,스콘(F/W용) 와이드 벌룬팬츠 블랙 YHLP2386,51000,39800,22
2026-08-27T10:51:26+09:00,제멋,2101662,스콘(F/W용) 와이드 벌룬팬츠 베이지 YHLP2386,51000,39800,22
2026-08-27T10:51:26+09:00,노이어,2104115,키드모헤어 오버핏 스웨터 (블랙),109000,87200,20
2026-08-27T10:51:26+09:00,노이어,2104116,하이넥 집업 니트 자켓 (블랙),160000,128000,20
2026-08-27T10:51:26+09:00,제멋,2115249,플랜 기모 스웨트 팬츠 네이비 OYLP2382,41900,31900,24
2026-08-27T10:51:26+09:00,제멋,2115265,[2PACK] 하비스트 오버핏 기모 후드 2PACK OYHD2393,113900,75900,33
