date,slot,goods_no,brand_name,product_name,first_failed_at,last_failed_at,attempts,last_error,current_price,product_url
2026-09-23,1,7319535,어반에이지,라이트쉘 나그랑 후드 경량 패딩_그레이,2026-09-23T04:56:33+09:00,2026-09-23T04:56:33+09:00,1,missing shard artifact/result,76200,https://www.musinsa.com/products/7319535
2026-09-23,1,7319540,어반에이지,라이트쉘 나그랑 후드 경량 패딩_스카이블루,2026-09-23T04:56:33+09:00,2026-09-23T04:56:33+09:00,1,missing shard artifact/result,76200,https://www.musinsa.com/products/7319540
2026-09-23,1,7319542,어반에이지,라이트쉘 나그랑 후드 경량 패딩_브라운,2026-09-23T04:56:33+09:00,2026-09-23T04:56:33+09:00,1,missing shard artifact/result,128000,https://www.musinsa.com/products/7319542
2026-09-23,1,7320148,놈브레,자카드 스프라이프 비니 [블랙],2026-09-23T04:56:33+09:00,2026-09-23T04:56:33+09:00,1,missing shard artifact/result,19620,https://www.musinsa.com/products/7320148
2026-09-23,1,7320750,놈브레,자카드 스프라이프 비니 [화이트],2026-09-23T04:56:33+09:00,2026-09-23T04:56:33+09:00,1,missing shard artifact/result,19620,https://www.musinsa.com/products/7320750
2026-09-23,1,7321488,솔트앤초콜릿,세릭 웨지 하프부츠 412646006 (3cm),2026-09-23T04:56:33+09:00,2026-09-23T04:56:33+09:00,1,missing shard artifact/result,111200,https://www.musinsa.com/products/7321488
2026-09-23,1,7325896,엠엘비,여성 페이크 퍼 트리밍 후드 집업 NY (Cream),2026-09-23T04:56:33+09:00,2026-09-23T04:56:33+09:00,1,missing shard artifact/result,199000,https://www.musinsa.com/products/7325896
2026-09-23,1,7325897,엠엘비,Q핏 배색 언스트럭쳐 볼캡 NY (Charcoal Grey),2026-09-23T04:56:33+09:00,2026-09-23T04:56:33+09:00,1,missing shard artifact/result,39000,https://www.musinsa.com/products/7325897
2026-09-23,1,7325899,엠엘비,미야옹 노립 비니 NY (Black),2026-09-23T04:56:33+09:00,2026-09-23T04:56:33+09:00,1,missing shard artifact/result,43000,https://www.musinsa.com/products/7325899
2026-09-23,1,7325900,엠엘비,미야옹 노립 비니 NY (D.Cream),2026-09-23T04:56:33+09:00,2026-09-23T04:56:33+09:00,1,missing shard artifact/result,43000,https://www.musinsa.com/products/7325900
2026-09-23,1,7325902,엠엘비,미야옹 노립 비니 LA (Mg.Pink),2026-09-23T04:56:33+09:00,2026-09-23T04:56:33+09:00,1,missing shard artifact/result,43000,https://www.musinsa.com/products/7325902
2026-09-23,1,7325905,엠엘비,버니 비니 LA (Cream),2026-09-23T04:56:33+09:00,2026-09-23T04:56:33+09:00,1,missing shard artifact/result,53000,https://www.musinsa.com/products/7325905
2026-09-23,1,7325908,엠엘비,버니 비니 LA (Light Blue),2026-09-23T04:56:33+09:00,2026-09-23T04:56:33+09:00,1,missing shard artifact/result,53000,https://www.musinsa.com/products/7325908
2026-09-23,1,7326127,제너럴아이디어,미니멀 웰론 패딩 베스트 [BLACK] / GF4LWV501,2026-09-23T04:56:33+09:00,2026-09-23T04:56:33+09:00,1,missing shard artifact/result,99000,https://www.musinsa.com/products/7326127
2026-09-23,1,7326128,제너럴아이디어,포켓 플레어 롱 스커트 [3COL] / GF3LSK506,2026-09-23T04:56:33+09:00,2026-09-23T04:56:33+09:00,1,missing shard artifact/result,79000,https://www.musinsa.com/products/7326128
2026-09-23,1,7326461,제너럴아이디어,더블 스터드 페이크 레더 벨트 [2COL] / GF3LET502,2026-09-23T04:56:33+09:00,2026-09-23T04:56:33+09:00,1,missing shard artifact/result,39000,https://www.musinsa.com/products/7326461
2026-09-23,1,7326476,제너럴아이디어,소프트 와플 후드 [2COL] / GF3UTS003,2026-09-23T04:56:33+09:00,2026-09-23T04:56:33+09:00,1,missing shard artifact/result,79000,https://www.musinsa.com/products/7326476
2026-09-23,1,7326480,제너럴아이디어,UNISEX 더블립티셔츠 [2COL] / GF3UTS001,2026-09-23T04:56:33+09:00,2026-09-23T04:56:33+09:00,1,missing shard artifact/result,49000,https://www.musinsa.com/products/7326480
